job_id,snapshot_date,company_id,company_name,company_website,careers_url,job_title,job_url,location,city,state,country,remote,salary_min,salary_max,department,category,date_found,last_seen_at,source_url,discovery_method,job_confidence_score,status
8acad2b94319,2026-08-19,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Shipping Coordinator,https://careers.bluefors.com/jobs/8237875-shipping-coordinator,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-19,2026-08-19,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
30f6f44e3b72,2026-08-19,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Technical Sales Manager,https://careers.bluefors.com/jobs/8231513-technical-sales-manager,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-19,2026-08-19,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
57a0dbfdc8e4,2026-08-19,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Accounting Associate,https://careers.bluefors.com/jobs/8224975-accounting-associate,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-19,2026-08-19,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
54ff67f5275f,2026-08-19,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Manufacturing Associate: BTA Assembler,https://careers.bluefors.com/jobs/8190303-manufacturing-associate-bta-assembler,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-19,2026-08-19,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
5bc16c4b4fe7,2026-08-19,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Manufacturing Associate: Compressor Assembly,https://careers.bluefors.com/jobs/8190267-manufacturing-associate-compressor-assembly,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-19,2026-08-19,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
3c8f7f752242,2026-08-19,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,R&D and Engineering,https://careers.bluefors.com/jobs/8190250-toolmaker,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-19,2026-08-19,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
ffc0f9c180a3,2026-08-19,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,"Installation Field Service Technician, East Coast",https://careers.bluefors.com/jobs/8126332-installation-field-service-technician-east-coast,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-19,2026-08-19,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
9e98d837473e,2026-08-19,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,"Installation Field Service Technician , West Coast",https://careers.bluefors.com/jobs/8126326-installation-field-service-technician-west-coast,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-19,2026-08-19,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
bc981d860b12,2026-08-19,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Legal Analyst,https://careers.bluefors.com/jobs/8110901-legal-analyst,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-19,2026-08-19,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
274cf5aedd27,2026-08-19,a3c0ab6694be,Bluefors Inc.,https://bluefors.com/,https://careers.bluefors.com/jobs,Technical Service Manager,https://careers.bluefors.com/jobs/8060586-technical-service-manager,"Syracuse, NY, United States",Syracuse,NY,United States,Not specified,,,,Core Space,2026-08-19,2026-08-19,https://careers.bluefors.com/jobs,linked_page,4,success_after_fallback
